cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
3,8,Прикладная математика,М,20.0,Нет,Программирование,Windows,Да,Да,Да,Не работаю,Copilot,170.0,Нет,Интроверт,"Редко, легкая физкультура",2.0,Бюджет,41.0,Карие,7.6,0,"Нет, я из Минска",Да
3,8,Прикладная математика,М,19.0,Нет,Программирование,Windows,Да,Нет,Да,Не работаю,ChatGPT,187.0,Нет,Экстраверт,"Да, я спортсмен",7.0,Бюджет,44.5,Карие,5.9,0,"Нет, я из Минска",Нет
3,8,Прикладная математика,М,19.0,Да,Программирование,Windows,Да,Да,Да,Не работаю,ChatGPT,190.0,Да,Интроверт,"Редко, легкая физкультура",7.0,Бюджет,45.0,Голубые,6.0,0,"Нет, я из регионов",Нет
3,8,Прикладная математика,М,20.0,Нет,Программирование,Windows,Да,Да,Да,1-2 года,DeepSeek,173.0,Нет,Интроверт,"Редко, легкая физкультура",6.0,Бюджет,41.0,Серые,7.5,0,"Нет, я из Минска",Да
4,13,Прикладная информатика,М,20.0,Нет,Программирование,Linux,Нет,Нет,Нет,1-2 года,Cursor,176.0,Да,Экстраверт,"Редко, легкая физкультура",40.0,Бюджет,43.0,Серые,0.0,0,"Нет, я из Минска",Да
4,13,Прикладная информатика,М,21.0,Нет,Программирование,Linux,Да,Да,Да,Меньше года,Cursor,192.0,Да,Экстраверт,"Да, я спортсмен",40.0,Платная,42.0,Карие,6.8,0,"Нет, я из Минска",Да
4,13,Прикладная информатика,М,20.0,Нет,Программирование,MacOS,Нет,Нет,Нет,1-2 года,ChatGPT,193.0,Нет,Интроверт,"Да, я спортсмен",7.0,Бюджет,45.0,Зеленые,7.6,0,Да,Да
4,13,Прикладная информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Нет,Меньше года,Gemini,182.0,Да,Социофоб,"Редко, легкая физкультура",30.0,Платная,44.0,Карие,6.7,0,"Нет, я из Минска",Да
4,13,Прикладная информатика,М,20.0,Нет,Программирование,Linux,Да,Да,Нет,Меньше года,ChatGPT,188.0,Да,Интроверт,Вообще нет,3.0,Платная,42.0,Карие,7.5,0,"Нет, я из Минска",Да
4,13,Прикладная информатика,Ж,22.0,Нет,Математика,MacOS,Нет,Нет,Нет,Не работаю,ChatGPT,164.0,Нет,Интроверт,"Редко, легкая физкультура",5.0,Платная,38.0,Карие,7.5,0,"Нет, я из Минска",Да
