cource,group,stream,sex,age,ss,interest,os,weekend_study,bad_sleep,glasses,work_experience,ai,height,anime,social,sport,miss,study_form,foot_size,eye_color,score,retake,hostel,literature
4,1,Информатика,Ж,21.0,Нет,Программирование,MacOS,Нет,Да,Да,Меньше года,ChatGPT,168.0,Нет,Экстраверт,"Редко, легкая физкультура",5.0,Бюджет,38.0,Зеленые,7.0,0,"Нет, я из регионов",Нет
4,1,Информатика,М,21.0,Нет,Математика,MacOS,Да,Нет,Да,1-2 года,ChatGPT,180.0,Нет,Экстраверт,"Редко, легкая физкультура",13.0,Бюджет,43.0,Карие,9.0,0,"Нет, я из Минска",Нет
4,1,Информатика,Ж,21.0,Нет,Программирование,Windows,Да,Да,Нет,Не работаю,DeepSeek,170.0,Нет,Экстраверт,"Да, я спортсмен",5.0,Платная,39.0,Карие,6.7,1,Да,Нет
4,1,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Нет,1-2 года,Copilot,182.0,Нет,Экстраверт,"Редко, легкая физкультура",15.0,Бюджет,42.0,Зеленые,7.0,1,"Нет, я из регионов",Да
4,1,Информатика,М,21.0,Нет,Программирование,MacOS,Да,Нет,Да,1-2 года,Copilot,194.0,Нет,Экстраверт,"Да, я спортсмен",16.0,Бюджет,45.0,Голубые,7.0,1,"Нет, я из регионов",Да
4,1,Информатика,М,20.0,Нет,Программирование,Windows,Нет,Нет,Да,Не работаю,ChatGPT,185.0,Да,Экстраверт,Вообще нет,1.0,Бюджет,45.0,Карие,6.29,0,"Нет, я из Минска",Да
4,1,Информатика,Ж,22.0,Нет,Программирование,Windows,Да,Да,Да,Не работаю,ChatGPT,169.0,Нет,Интроверт,"Редко, легкая физкультура",0.0,Бюджет,39.0,Карие,6.0,0,"Нет, я из регионов",Нет
4,1,Информатика,М,21.0,Нет,Математика,Windows,Нет,Нет,Да,Не работаю,DeepSeek,183.0,Нет,Экстраверт,"Да, я спортсмен",10.0,Бюджет,44.0,Карие,7.0,0,"Нет, я из Минска",Нет
4,1,Информатика,М,20.0,Нет,Программирование,Windows,Да,Да,Нет,1-2 года,ChatGPT,187.0,Да,Интроверт,"Да, я спортсмен",1.0,Бюджет,45.0,Карие,7.0,0,"Нет, я из регионов",Нет
4,1,Информатика,М,20.0,Нет,Программирование,Windows,Нет,Да,Нет,1-2 года,Qwen,186.0,Да,Экстраверт,"Редко, легкая физкультура",10.0,Платная,43.0,Зеленые,6.0,1,"Нет, я из регионов",Нет
